pmcid,sentence,structure_1,structure_2,relation,score,pubmed_url
PMC10583224,"The recurrent laryngeal nerve (RLN), which supplies all the muscles of the larynx (except the cricothyroid), is a branch of the 10th cranial nerve, the vagus.",recurrent laryngeal nerve,vagus,structural connectivity,0.9948049783706665,http://www.ncbi.nlm.nih.gov/pubmed/PMC10583224
37848937,Splanchnic nerves provide sympathetic pre-ganglionic fibers to celiac–superior mesenteric ganglion neurons whose axons form the splenic nerve releasing NE to the spleen [31–34].,Splanchnic nerves,mesenteric ganglion,anatomical connectivity,0.9927456378936768,http://www.ncbi.nlm.nih.gov/pubmed/37848937
37857771,"Interestingly, Pavlov et al. reviewed that the vagus afferent sensory fibers in the nodose ganglion terminate primarily within medullary areas of the NTS, RVLM, and dorsal motor nucleus of the vagus.",vagus,nodose ganglion,anatomical connectivity,0.9979414343833923,http://www.ncbi.nlm.nih.gov/pubmed/37857771
37857771,"Interestingly, Pavlov et al. reviewed that the vagus afferent sensory fibers in the nodose ganglion terminate primarily within medullary areas of the NTS, RVLM, and dorsal motor nucleus of the vagus.",nodose ganglion,vagus,anatomical connectivity,0.7656344175338745,http://www.ncbi.nlm.nih.gov/pubmed/37857771
37166201,"The vagus nerve is the tenth cranial nerve, of which the hepatic and celiac branches innervate the gut.",vagus nerve,tenth cranial nerve,structural connectivity,0.7045708894729614,http://www.ncbi.nlm.nih.gov/pubmed/37166201
PMC10605055,"The sensory information originating from the gut is conveyed via vagus nerve sensory fibers that terminate in the nodose ganglia, where the incoming sensory signals are processed.",vagus nerve,nodose ganglia,anatomical connectivity,0.8338720798492432,http://www.ncbi.nlm.nih.gov/pubmed/PMC10605055
PMC10608348,"FN Canal dehiscence/erosion—Fallopian canal dehiscence/erosion is a relatively common finding in cholesteatoma affecting the middle ear, usually occurring in the tympanic portion of the facial nerve canal [8,29].",tympanic,facial nerve,structural connectivity,0.9869728684425354,http://www.ncbi.nlm.nih.gov/pubmed/PMC10608348
37831494,"Vagus nerve stimulation (VNS) stimulates the tenth cranial nerve, the longest nerve of the organism that links the central nervous system and body by innervating major organs, such as the heart, lungs, and gastrointestinal tract.",Vagus nerve,tenth cranial nerve,functional connectivity,0.9559438824653625,http://www.ncbi.nlm.nih.gov/pubmed/37831494
37923783,"According to the polyvagal theory, the vagus nerve plays a role in a hierarchical model of reactions to stress and social interaction, which consists of two primary branches: the ventral vagus and the dorsal vagus.",vagus nerve,vagus,structural connectivity,0.5579412579536438,http://www.ncbi.nlm.nih.gov/pubmed/37923783
PMC10570629,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",chorda tympani,facial nerve,structural connectivity,0.9917203783988953,http://www.ncbi.nlm.nih.gov/pubmed/PMC10570629
PMC10570629,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",chorda tympani,lingual nerve,topological connectivity,0.4908900856971741,http://www.ncbi.nlm.nih.gov/pubmed/PMC10570629
PMC10570629,"They, which called the chorda tympani, branch off from the main trunk of the facial nerve near the stylomastoid foramen, pass through the tympanic cavity, and attach to the lingual nerve of the mandibular nerve.",chorda tympani,tympanic,topological connectivity,0.9877232909202576,http://www.ncbi.nlm.nih.gov/pubmed/PMC10570629
37899521,"The pudendal canal, also known as Alcock’s canal, houses the pudendal nerve.",pudendal,pudendal nerve,anatomical connectivity,0.9927452206611633,http://www.ncbi.nlm.nih.gov/pubmed/37899521
32209522,"The chorda tympani is a branch of the facial nerve that separates off above the stylomastoid foramen, runs through the canaliculus, and then appears on the lateral wall of the tympanum.",chorda tympani,facial nerve,structural connectivity,0.9992208480834961,http://www.ncbi.nlm.nih.gov/pubmed/32209522
