pmid,sentence,structure_1,structure_2,relation,score,pubmed_url
38468802,"The acoustic trachea bifurcates near the TM, with the anterior tracheal branch backing the anterior tympanic membrane, and similarly the posterior tympanic branch lies behind the posterior tympanic membrane.",tympanic branch,tympanic,topological connectivity,0.990867018699646,http://www.ncbi.nlm.nih.gov/pubmed/38468802
PMC10928335,Vagal nerve stimulation (VNS) electrically stimulates the tenth cranial nerve and provides afferent stimulation to the nucleus tractus solitarius.,Vagal nerve,tenth cranial nerve,functional connectivity,0.9581413269042969,http://www.ncbi.nlm.nih.gov/pubmed/PMC10928335
38475923,"These complications may be related to branching of the vagus nerve, especially the superior and the (non-) recurrent inferior laryngeal nerve.",vagus nerve,laryngeal nerve,structural connectivity,0.6757041215896606,http://www.ncbi.nlm.nih.gov/pubmed/38475923
38393672,"Parasympathetic innervation of the heart is provided by preganglionic branches of the vagal nerve that synapse close to the target organ, e.g., in intrinsic cardiac ganglia situated in the myocardial wall and on the epicardial surface of the heart [1].",vagal nerve,cardiac ganglia,anatomical connectivity,0.9580448865890503,http://www.ncbi.nlm.nih.gov/pubmed/38393672
38393672,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",SCG,nodose ganglion,anatomical connectivity,0.979555606842041,http://www.ncbi.nlm.nih.gov/pubmed/38393672
38393672,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",SCG,vagal nerve,anatomical connectivity,0.9970725178718567,http://www.ncbi.nlm.nih.gov/pubmed/38393672
38393672,"In contrast, in another study, no direct connection between the SCG and the heart was found, but the SCG seemed to innervate the heart indirectly via the carotid nerve, which joins the nodose ganglion of the vagal nerve whose branches enter the arterial and venous pole of the heart [49].",nodose ganglion,vagal nerve,structural connectivity,0.9032779932022095,http://www.ncbi.nlm.nih.gov/pubmed/38393672
38393672,"Although the SCG is a sympathetic chain ganglion, remarkably, a connection of the sympathetic SCG with the parasympathetic nodose ganglion has been observed in mice and rhesus monkeys [14, 32].",SCG,sympathetic chain ganglion,structural connectivity,0.6249638199806213,http://www.ncbi.nlm.nih.gov/pubmed/38393672
38500948,"The process of CI electrode positioning can prove to be extremely challenging, potentially harming the mastoid segment of the facial nerve, ossicles, and tympanic membrane [5].",facial nerve,tympanic,anatomical connectivity,0.7458810210227966,http://www.ncbi.nlm.nih.gov/pubmed/38500948
PMC10949710,"Another reason is the excess injected volume of local anesthetic that diffuses to the EBSLN and adjacent cervical vagus nerves and carotid sheath which is just closed to the cervical sympathetic trunk and the recurrent laryngeal nerve to cause corresponding symptoms of nerve reflex [4, 5].",vagus,recurrent laryngeal nerve,structural connectivity,0.9954591393470764,http://www.ncbi.nlm.nih.gov/pubmed/PMC10949710
38510598,"The symptoms were exophthalmos (56.4%; 22 patients), visual deficit (30.7%; 12 patients), impaired ocular motility (17.9%; 7 patients) and cranial nerve deficit (12.8%; 4 patients with trigeminal nerve deficit and 1 patient with facial nerve deficit).",trigeminal nerve,facial nerve,topological connectivity,0.9067691564559937,http://www.ncbi.nlm.nih.gov/pubmed/38510598
38516577,"Other complications associated with stapes surgery are postoperative vertigo (1%–26%), tinnitus (2%–54%), temporary taste alteration due to manipulation of the chorda tympani nerve (2%–16%), perforation of the tympanic membrane, and facial nerve palsy (<1%) (6,15–24).",chorda tympani nerve,facial nerve,structural connectivity,0.9989731311798096,http://www.ncbi.nlm.nih.gov/pubmed/38516577
